sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF19aailepg,0.1287,0.001799999999999996,0.004500000000000004,22.186,1.7049999999999983,0.9869999999999983,449.4753485697858,7080000000000.0,10220000000000.0,8.427e+51,6.219999999999997e+50,6.090000000000003e+50,1.752e+51,4.63e+50,4.46e+50,7985.0,222.0,328.0,-17.11,-17.11,3.3750000000000024e+21
ZTF22aaolwsd,0.01737,0.00020999999999999838,0.0002599999999999998,15.731,0.7449999999999992,0.7320000000000011,157.68290929998562,460000000000.0,1220000000000.0,2.985e+51,1.3099999999999989e+50,1.5100000000000018e+50,8.633e+51,8.049999999999993e+50,4.460000000000003e+50,5639.0,174.0,199.0,-18.1,-18.1,3.3750000000000024e+21
ZTF19abqrhvt,0.1371,0.007000000000000006,0.010199999999999987,7.057,0.3290000000000006,0.3219999999999992,1011.6429495472187,6480000000000.0,7080000000000.0,4.103e+51,2.31e+50,2.4900000000000035e+50,5.982e+50,6.019999999999996e+49,6.090000000000003e+49,9871.0,330.0,309.0,-18.09,-18.09,3.3750000000000024e+21
ZTF21aapkcmr,0.07407,0.003979999999999997,0.004619999999999999,8.679,0.6390000000000011,0.6009999999999991,873.6524363949978,10750000000000.0,10660000000000.0,5.161e+51,5.329999999999997e+50,3.5299999999999974e+50,8.029e+50,1.3539999999999997e+50,1.8289999999999992e+50,9979.0,527.0,411.0,-17.55,-18.1,3.3750000000000024e+21
ZTF21aaqugxm,0.1761,0.010099999999999998,0.007599999999999996,5.406,0.25399999999999956,0.29100000000000037,478.0796320252983,13490000000000.0,12540000000000.0,1.911e+51,1.0899999999999996e+50,1.0500000000000004e+50,9.084e+50,2.5300000000000003e+50,6.2759999999999995e+50,7682.0,251.0,259.0,-18.12,-18.12,3.3750000000000024e+21
ZTF23abhzfww,0.1368,0.0030999999999999917,0.005299999999999999,15.886,0.8729999999999993,0.7789999999999999,823.1996550237171,12820000000000.0,12990000000000.0,5.898e+51,4.609999999999997e+50,4.120000000000003e+50,1.046e+51,1.8859999999999998e+50,3.1800000000000006e+50,7890.0,238.0,224.0,-17.62,-17.62,3.3750000000000024e+21
ZTF22abnujbv,0.02449,0.0008000000000000021,0.0007399999999999976,8.785,0.35100000000000087,0.42900000000000027,259.45091274974845,6720000000000.0,20670000000000.0,1.991e+51,1.0000000000000013e+50,1.049999999999997e+50,7.191e+50,3.803e+50,4.1789999999999995e+50,6156.0,218.0,207.0,-16.42,-16.42,3.3750000000000024e+21
ZTF24abtczty,0.003465,4.000000000000097e-06,8.999999999999894e-06,5.727,0.32400000000000073,0.2959999999999994,542.6189449475348,3890000000000.0,5570000000000.0,2.092e+50,1.169999999999999e+49,1.1499999999999994e+49,2.653e+49,3.290000000000002e+48,3.2499999999999966e+48,2474.0,91.0,97.0,-14.131803326809418,-14.131803326809418,3.3750000000000024e+21
ZTF22aativsd,0.2074,0.007800000000000001,0.009199999999999986,11.749,0.6820000000000004,0.6189999999999998,141.35403191030616,532000000000.0,976000000000.0,6.39e+51,4.269999999999997e+50,3.539999999999994e+50,9.136e+51,7.959999999999998e+50,6.960000000000003e+50,9513.0,252.0,279.0,-18.15,-18.15,3.3750000000000024e+21
ZTF19acewuwn,0.1303,0.007300000000000001,0.010899999999999993,15.008,1.1069999999999993,1.1610000000000014,107.47448612907863,1709759999999.998,2303000000000.0,5.926e+51,5.859999999999997e+50,6.61e+50,4.128e+51,1.0660000000000001e+51,1.1839999999999999e+51,8123.0,363.0,382.0,-16.96,-16.96,3.3750000000000024e+21
ZTF23aailjjs,0.1176,0.006099999999999994,0.0022000000000000075,13.515,0.6420000000000012,0.39199999999999946,280.86819031191607,2010000000000.0,2200000000000.0,9.632e+51,5.959999999999995e+50,2.6100000000000013e+50,3.433e+51,3.360000000000004e+50,3.839999999999995e+50,10970.0,420.0,80.0,-17.91,-17.91,3.3750000000000024e+21
ZTF20aapchqy,0.001061,3.0000000000001813e-06,1.9999999999998318e-06,7.562,0.2140000000000004,0.5919999999999996,197.3551818312491,1000000000000.0,730000000000.0,2.874e+50,8.9e+48,3.12e+49,8.121e+49,4.409999999999995e+48,6.169999999999997e+48,2510.0,69.0,110.0,-14.23,-14.23,3.451437393358564e+20
ZTF24aaemydm,0.1208,0.0102,0.0010999999999999899,14.343,0.6470000000000002,0.6479999999999997,154.66436682478079,1165000000000.0,420000000000.0,9.896e+51,8.690000000000008e+50,7.799999999999921e+49,6.322e+51,2.5600000000000055e+50,7.380000000000002e+50,10770.0,650.0,40.0,-18.01,-18.01,3.3750000000000024e+21
ZTF21acgrrnl,0.03855,0.0003799999999999984,0.0005999999999999964,12.67,0.9009999999999998,0.8559999999999999,381.7737530544775,4760000000000.0,2510000000000.0,2.401e+51,3.8500000000000014e+50,2.379999999999999e+50,5.908e+50,6.26e+49,1.4090000000000004e+50,5594.0,287.0,170.0,-16.31,-16.31,3.3750000000000024e+21
ZTF23abaxtlq,0.01798,0.00032000000000000084,0.0002699999999999994,10.689,0.5080000000000009,0.4919999999999991,809.2568635906282,5630000000000.0,5940000000000.0,2.305e+51,1.2599999999999998e+50,1.5700000000000007e+50,2.764e+50,2.5900000000000016e+49,3.019999999999998e+49,6003.0,184.0,196.0,-16.37,-16.37,3.3750000000000024e+21
ZTF21aaeqwov,0.05301,0.0005300000000000027,0.002459999999999997,18.135,0.968,0.8729999999999976,107.21575391691822,1037000000000.0,6791000000000.0,5.419e+51,3.4399999999999958e+50,3.460000000000002e+50,3.289e+51,1.5780000000000002e+51,4.600000000000001e+50,7077.0,236.0,272.0,-16.39,-16.39,3.3750000000000024e+21
ZTF24aagupsf,0.07356,0.00179,0.0034099999999999964,15.433,0.786999999999999,0.8109999999999999,554.836854966221,8450000000000.0,4150000000000.0,7.293e+51,4.1299999999999995e+50,5.320000000000007e+50,1.601e+51,1.730000000000001e+50,4.0599999999999975e+50,8905.0,276.0,272.0,-17.47,-17.47,3.3750000000000024e+21
ZTF22aavbfhz,0.05216,0.0011699999999999974,0.0015599999999999989,8.63,0.6480000000000006,0.5919999999999987,742.9926692539888,13510000000000.0,14953599999999.86,2.249e+51,2.379999999999999e+50,2.2400000000000015e+50,2.55e+50,5.709999999999998e+49,8.890000000000001e+49,6605.0,247.0,247.0,-16.6,-16.6,3.3750000000000024e+21
ZTF19acytcsg,0.1988,0.006099999999999994,0.007800000000000001,16.619,0.9190000000000005,0.8339999999999996,361.50639643524505,2630000000000.0,4710000000000.0,8.53e+51,5.989999999999998e+50,5.1500000000000005e+50,2.699e+51,4.6699999999999995e+50,2.990000000000001e+50,9280.0,295.0,196.0,-17.6,-17.6,3.3750000000000024e+21
ZTF19aazyvub,0.07127,0.0027599999999999986,0.0023900000000000032,12.311,0.6760000000000002,0.5340000000000007,136.05002156101767,1313000000000.0,1005000000000.0,4.413e+51,2.7699999999999983e+50,2.559999999999999e+50,3.93e+51,3.789999999999999e+50,6.459999999999999e+50,7767.0,261.0,243.0,-17.13,-17.13,3.3750000000000024e+21
ZTF19aaniore,0.1175,0.003899999999999987,0.0031000000000000055,14.823,0.6070000000000011,0.6999999999999993,616.0701451775191,5320000000000.0,6660000000000.0,4.567e+51,2.239999999999998e+50,3.000000000000004e+50,1.176e+51,1.4399999999999998e+50,1.5399999999999996e+50,7184.0,189.0,221.0,-17.31,-17.31,3.3750000000000024e+21
ZTF22abkbjsb,0.05059,0.0008100000000000052,0.0033100000000000004,5.851,0.26700000000000035,0.2370000000000001,632.4565186143452,2580000000000.0,4380000000000.0,1.056e+51,6.349999999999998e+49,3.8000000000000123e+49,1.868e+50,1.619999999999999e+49,6.400000000000026e+48,5499.0,182.0,150.0,-16.3,-16.72,3.3750000000000024e+21
ZTF19actnyae,0.111,0.010999999999999996,0.007900000000000004,13.385,1.234,0.9295599999999968,729.4810981745005,2380000000000.0,8370000000000.0,9.775e+51,1.5090000000000008e+51,1.1199999999999924e+50,3.583e+50,6.790000000000002e+49,2.2599999999999953e+49,11060.0,1030.0,30.0,-16.88,-16.88,3.3750000000000024e+21
ZTF24aadkwni,0.134,0.0040000000000000036,0.00789999999999999,9.616,0.4599999999999991,0.43100000000000094,149.6334626994394,1487000000000.0,2950000000000.0,5.105e+51,2.7799999999999948e+50,4.64e+50,4.908e+51,1.144e+51,7.900000000000006e+50,9427.0,290.0,376.0,-17.53,-17.95,3.3750000000000024e+21
ZTF19abajxet,0.08022,0.003820000000000004,0.0037599999999999995,9.664,0.4039999999999999,0.402000000000001,392.266781658761,6040000000000.0,25460000000000.0,2.752e+51,1.6899999999999984e+50,1.4200000000000001e+50,1.958e+51,9.52e+50,4.5999999999999974e+50,6891.0,214.0,202.0,-17.77,-17.77,3.3750000000000024e+21
ZTF21abfiuqf,0.03292,0.0010399999999999993,0.0005399999999999988,6.649,0.4349999999999996,0.21199999999999974,452.92511139859135,6910000000000.0,6710000000000.0,2.096e+51,1.5199999999999983e+50,1.020000000000001e+50,4.702e+50,5.269999999999993e+49,1.2200000000000006e+50,7265.0,386.0,167.0,-16.82,-17.18,3.3750000000000024e+21
ZTF24abmkros,0.007766,5.6000000000000494e-05,6.199999999999956e-05,8.388,0.3899999999999997,0.47000000000000064,309.4724737674285,11564000000000.0,28080000000000.0,8.797e+50,4.940000000000008e+49,5.809999999999992e+49,1.21e+50,6.853999999999999e+49,1.424e+50,4194.0,151.0,130.0,-14.87,-14.87,3.3750000000000024e+21
ZTF22aakdqqg,0.1003,0.004580000000000001,0.004100000000000006,5.832,0.25899999999999945,0.28000000000000025,1060.6583297398304,44180000000000.0,5100000000000.0,1.301e+51,9.200000000000012e+49,9.700000000000002e+49,4.588e+50,2.580000000000002e+49,6.742e+50,6118.0,219.0,210.0,-17.82,-17.94,3.3750000000000024e+21
ZTF21aafepon,0.05175,0.0033399999999999958,0.00204,7.533,0.375,0.46999999999999975,138.9248239183556,1720000000000.0,445000000000.0,2.244e+51,1.1900000000000011e+50,1.3299999999999985e+50,1.016e+51,4.880000000000009e+49,2.4499999999999993e+50,7072.0,202.0,170.0,-16.18,-16.42,3.3750000000000024e+21
ZTF21abvcxel,0.03546,0.002020000000000001,0.0025000000000000022,7.18,0.29000000000000004,0.36900000000000066,122.8115567054765,512000000000.0,1269000000000.0,2.495e+51,1.0300000000000008e+50,1.6199999999999997e+50,1.179e+51,1.43e+50,8.999999999999999e+49,7632.0,225.0,249.0,-16.36,-16.36,3.3750000000000024e+21
ZTF23abbtkrv,0.09808,0.0015199999999999936,0.0017599999999999977,24.794,3.0010000000000012,0.14399999999999835,177.51904556561738,860000000000.0,1250000000000.0,9.545e+51,1.0660000000000008e+51,1.4399999999999998e+50,4.274e+51,3.5000000000000013e+50,2.5799999999999985e+50,8045.0,165.0,290.0,-17.05,-17.05,3.3750000000000024e+21
ZTF19abbnamr,0.07395,0.002579999999999999,0.0011800000000000005,22.427,1.5180000000000007,0.38400000000000034,170.04455943653875,470000000000.0,2320000000000.0,9.939e+51,9.950000000000004e+50,4.800000000000044e+49,7.926e+51,1.251000000000001e+51,3.1599999999999943e+50,8639.0,444.0,36.0,-17.4,-17.4,3.3750000000000024e+21
ZTF20abeohfn,0.02357,0.0009200000000000007,0.0008300000000000009,11.577,0.4410000000000007,0.4640000000000004,439.1260600833693,4740000000000.0,5690000000000.0,3.002e+51,1.2300000000000004e+50,1.2100000000000007e+50,3.661e+50,5.550000000000001e+49,6.130000000000002e+49,6597.0,188.0,169.0,-15.93,-15.93,3.3750000000000024e+21
ZTF19acbwejj,0.09131,0.0001300000000000051,0.003250000000000003,24.719,2.7230000000000025,0.23000000000000043,199.79876383498635,1470000000000.0,4930000000000.0,6.356e+51,3.880000000000001e+50,3.2699999999999956e+50,5.356e+51,1.4160000000000002e+51,6.27e+50,6555.0,69.0,503.0,-17.8,-17.8,3.3750000000000024e+21
ZTF19abbwfgp,0.1479,0.0022000000000000075,0.0030000000000000027,11.303,0.33000000000000007,0.35199999999999854,256.7198505102774,1490000000000.0,4530000000000.0,4.177e+51,1.9199999999999975e+50,2.280000000000004e+50,4.843e+51,1.038e+51,4.2000000000000016e+50,7870.0,186.0,179.0,-18.16,-18.16,3.3750000000000024e+21
ZTF21abhhrpj,0.1649,0.007499999999999979,0.007000000000000006,11.184,1.3179999999999996,0.3180000000000014,340.80781946241194,3290000000000.0,2540000000000.0,4.636e+51,1.0989999999999998e+51,2.930000000000002e+50,2.383e+51,3.8299999999999985e+50,2.400000000000002e+50,8344.0,728.0,201.0,-17.88,-17.88,3.3750000000000024e+21
ZTF22abssiet,0.01325,0.0001899999999999992,0.00027000000000000114,12.894,0.4540000000000006,0.3409999999999993,152.22078482104357,430000000000.0,1270000000000.0,3.642e+51,1.6600000000000023e+50,1.0299999999999974e+50,1.273e+51,1.4500000000000013e+50,5.499999999999997e+49,6880.0,163.0,128.0,-15.66,-15.9,3.3750000000000024e+21
ZTF22abtspsw,0.005815,1.7999999999999787e-05,3.0000000000000512e-05,10.364,2.5150000000000006,2.2799999999999994,310.90987494609743,1360000000000.0,2680000000000.0,1.118e+51,4.26e+50,4.54e+50,1.314e+51,7.299999999999997e+49,7.900000000000002e+49,4288.0,444.0,279.0,-17.09,-17.09,3.3750000000000024e+21
ZTF21aavhnpk,0.06278,0.002480000000000003,0.0023799999999999932,12.091,0.5640000000000001,0.5800000000000001,182.69368980882564,2190000000000.0,2060000000000.0,4.73e+51,3.0299999999999934e+50,3.3800000000000035e+50,3.173e+51,4.219999999999998e+50,6.0100000000000044e+50,8092.0,267.0,267.0,-17.33,-17.33,3.3750000000000024e+21
ZTF23abascqa,0.0634,0.001919999999999998,0.0023299999999999987,9.8,0.484,0.38599999999999923,1032.6290067557854,25150000000000.0,4720000000000.0,2.978e+51,1.8199999999999993e+50,1.0199999999999976e+50,9.14e+50,7.060000000000001e+49,4.98e+50,7124.0,260.0,188.0,-17.96,-17.96,3.3750000000000024e+21
ZTF19abwztsb,0.04361,0.0017800000000000038,0.0017199999999999993,8.051,0.3129999999999997,0.3669999999999991,324.13396578985197,5840000000000.0,8420000000000.0,2.108e+51,1.1800000000000013e+50,1.0600000000000002e+50,4.38e+50,1.1709999999999998e+50,1.5360000000000005e+50,6609.0,192.0,205.0,-16.23,-16.23,3.3750000000000024e+21
ZTF22aaywnyg,0.01904,0.0003500000000000031,0.00010999999999999899,8.051,0.04400000000000048,0.657,1024.2920799195056,5090000000000.0,7130000000000.0,7.798e+50,4.929999999999991e+49,1.5500000000000044e+49,5.214e+49,4.870000000000001e+48,4.679999999999998e+48,4003.0,250.0,75.0,-15.42,-15.42,1.7864875748520462e+21
ZTF19actnwtn,0.3098,0.019199999999999995,0.016199999999999992,18.927,1.4740000000000002,1.0429999999999993,843.1795314072158,12590000000000.0,9700000000000.0,8.998e+51,1.0570000000000013e+51,4.9599999999999874e+50,1.077e+51,1.4770000000000008e+50,3.0699999999999993e+50,8938.0,540.0,175.0,-16.86,-17.59,3.3750000000000024e+21
ZTF21aabygea,0.07815,0.0011800000000000005,0.0017800000000000038,16.212,0.6760000000000002,0.588000000000001,174.93172344401322,630000000000.0,1510000000000.0,5.013e+51,2.270000000000001e+50,1.97e+50,4.11e+51,4.2899999999999966e+50,2.0899999999999976e+50,7200.0,172.0,187.0,-17.28,-17.28,3.3750000000000024e+21
ZTF23abmoxlu,0.02586,0.0001799999999999996,0.0004899999999999974,16.421,0.9079999999999995,0.7160000000000011,423.60212735374444,2020000000000.0,4730000000000.0,2.873e+51,1.5600000000000009e+50,1.409999999999997e+50,1.649e+51,2.3999999999999985e+50,1.2699999999999996e+50,5422.0,199.0,174.0,-17.59,-17.77,3.3750000000000024e+21
ZTF22aakdbia,0.003121,1.5000000000000256e-05,2.499999999999985e-05,7.635,0.3380000000000001,0.4640000000000004,363.0875377317809,11970000000000.0,31630000000000.0,4.183e+50,2.5400000000000026e+49,3.11e+49,6.242e+49,3.4199999999999997e+49,5.138e+49,3023.0,123.0,98.0,-14.42,-15.09,1.1324003632355624e+21
ZTF19aadnxnl,0.113,0.005500000000000005,0.0022999999999999965,15.554,1.1080000000000005,0.5830000000000002,350.00718700589334,1710000000000.0,1330000000000.0,4.922e+51,4.929999999999998e+50,7.799999999999988e+49,1.27e+51,8.000000000000001e+49,1.110000000000001e+50,7325.0,504.0,15.0,-16.87,-16.87,3.3750000000000024e+21
ZTF21aafkwtk,0.06203,0.0015300000000000036,0.001350000000000004,17.3,0.7089999999999996,0.6549999999999976,214.3165157395429,3210000000000.0,4660000000000.0,7.508e+51,3.469999999999992e+50,3.2500000000000026e+50,3.036e+51,7.100000000000001e+50,8.990000000000002e+50,8523.0,241.0,209.0,-16.98,-16.98,3.3750000000000024e+21
ZTF19aanrrqu,0.1135,0.003600000000000006,0.004199999999999995,6.529,0.23899999999999988,0.2560000000000002,118.08250682765559,2426000000000.0,3595000000000.0,3.508e+51,1.7000000000000016e+50,2.080000000000001e+50,4.849e+51,1.4819999999999997e+51,1.9260000000000007e+51,9496.0,239.0,259.0,-18.02,-18.02,3.3750000000000024e+21
ZTF23aasbvab,0.0345,0.00037000000000000227,0.0005199999999999996,12.047,0.5760000000000005,0.5359999999999996,93.04297829524221,1414000000000.0,2207000000000.0,2.424e+51,1.299999999999999e+50,1.25e+50,3.366e+51,8.25e+50,9.250000000000004e+50,5810.0,189.0,190.0,-16.8,-16.8,3.3750000000000024e+21
ZTF18aatyqds,0.04125,0.0010300000000000031,0.0006999999999999992,7.112,0.242,0.28500000000000014,709.7887020267357,14400000000000.0,17290000000000.0,1.233e+51,6.000000000000005e+49,7.50000000000001e+49,4.094e+50,1.1210000000000003e+50,1.6599999999999998e+50,5389.0,160.0,152.0,-17.15,-17.15,3.3750000000000024e+21
ZTF21aardvtn,0.05754,0.001010000000000004,0.0023099999999999996,18.009,0.9100000000000001,0.7339999999999982,324.42144602558574,3900000000000.0,7680000000000.0,5.611e+51,3.3500000000000008e+50,2.6099999999999946e+50,1.045e+51,2.544999999999999e+50,2.4299999999999996e+50,7223.0,228.0,234.0,-16.42,-16.42,3.3750000000000024e+21
ZTF19acftfav,0.03702,0.0007399999999999976,0.0023200000000000026,7.062,0.3540000000000001,0.49099999999999966,108.17881270662642,893000000000.0,534000000000.0,1.43e+51,8.499999999999991e+49,1.3500000000000015e+50,1.556e+51,1.2199999999999989e+50,2.6899999999999998e+50,5826.0,220.0,251.0,-16.51,-16.75,3.3750000000000024e+21
ZTF19aapafit,0.08921,0.0019799999999999957,0.001009999999999997,22.983,0.9529999999999994,0.4259999999999984,135.3313209716832,646000000000.0,424000000000.0,9.944e+51,6.850000000000002e+50,5.200000000000036e+49,6.705e+51,2.6100000000000013e+50,5.250000000000005e+50,8497.0,291.0,44.0,-17.05,-17.05,3.3750000000000024e+21
ZTF24aarvbxj,0.1042,0.004229999999999998,0.005400000000000002,9.737,0.4900000000000002,0.5329999999999995,239.9022567198505,2580000000000.0,5070000000000.0,7.017e+51,4.870000000000006e+50,4.83999999999999e+50,2.177e+51,5.059999999999999e+50,4.09e+50,10990.0,380.0,310.0,-17.56,-17.56,3.3750000000000024e+21
ZTF21aagtqna,0.08186,0.0010900000000000076,0.0016000000000000042,22.782,1.4280000000000008,0.8030000000000008,87.53773178094006,729000000000.0,925000000000.0,8.42e+51,5.140000000000004e+50,4.679999999999993e+50,7.782e+51,9.60999999999999e+50,1.1370000000000011e+51,7861.0,224.0,232.0,-16.84,-16.84,3.3750000000000024e+21
ZTF22aasojye,0.05159,2.9999999999995308e-05,0.002350000000000005,24.679,2.5919999999999987,0.2960000000000029,150.208423170907,806000000000.0,2790000000000.0,8.497e+51,5.6999999999999936e+50,3.189999999999997e+50,5.571e+51,1.1920000000000004e+51,5.159999999999997e+50,7602.0,50.0,486.0,-16.89,-16.89,3.3750000000000024e+21
ZTF21aanzcuj,0.07981,0.0011500000000000121,0.05158999999999998,19.439,15.761,0.9510000000000005,468.1615638924824,28708000000000.0,3750000000000.0,8.374e+51,7.6167e+51,5.940000000000002e+50,8.986e+50,4.163000000000001e+50,9.48999999999999e+49,8424.0,2493.0,193.0,-16.69,-16.69,3.3750000000000024e+21
ZTF22abfavpu,0.04103,0.0010399999999999993,0.0014400000000000038,11.074,0.6210000000000004,0.4930000000000003,547.5061089550094,6940000000000.0,4010000000000.0,3.085e+51,1.96e+50,1.3699999999999978e+50,8.179e+50,6.450000000000013e+49,1.8609999999999986e+50,6832.0,246.0,237.0,-17.1,-17.1,3.3750000000000024e+21
ZTF18aaxkqgy,0.06801,0.002140000000000003,0.0029499999999999943,13.27,0.5429999999999993,0.6523599999999874,120.25298260744574,1899000000000.0,686000000000.0,6.468e+51,3.110000000000012e+50,3.22e+50,3.585e+51,2.599999999999998e+50,1.1190000000000001e+51,9045.0,285.0,264.0,-17.14,-17.14,3.3750000000000024e+21
ZTF19aanhhal,0.07962,0.0019799999999999957,0.001480000000000009,13.347,0.5899999999999999,0.6859999999999999,128.50366537300562,3595000000000.0,1760000000000.0,3.892e+51,2.2300000000000017e+50,2.6399999999999974e+50,4.594e+51,7.040000000000002e+50,3.1039999999999994e+51,6987.0,196.0,228.0,-17.23,-17.23,3.3750000000000024e+21
